,Classifier,By,Preprocessed,Vectorizer,Ngram,TopKFeatures,TrainAccuracy,TestAccuracy
0,PassiveAggressiveClassifier,headline,0,TfidfVectorizer,"(1, 2)",3000,0.8793958913649025,0.8517873723305478
0,PassiveAggressiveClassifier,headline,1,CountVectorizer,"(1, 1)",7500,0.9212221448467967,0.8515552460538532
0,PassiveAggressiveClassifier,headline,1,CountVectorizer,"(1, 1)",6000,0.9110666202414113,0.850974930362117
0,PassiveAggressiveClassifier,headline,1,CountVectorizer,"(1, 2)",6000,0.8953545728876509,0.8485956360259982
0,PassiveAggressiveClassifier,headline,0,CountVectorizer,"(1, 1)",4500,0.8904218895078923,0.8478412256267409
0,PassiveAggressiveClassifier,full_text,1,CountVectorizer,"(1, 1)",3000,0.881122330547818,0.8461583101207056
0,PassiveAggressiveClassifier,headline,1,TfidfVectorizer,"(1, 2)",3000,0.8733896239554317,0.8461583101207056
0,PassiveAggressiveClassifier,headline,0,CountVectorizer,"(1, 2)",6000,0.8954416202414113,0.8458101207056639
0,PassiveAggressiveClassifier,headline,0,CountVectorizer,"(1, 1)",6000,0.9046686397400185,0.8451137418755803
0,PassiveAggressiveClassifier,headline,1,CountVectorizer,"(1, 1)",4500,0.8938022284122563,0.8444173630454967
0,PassiveAggressiveClassifier,full_text,0,CountVectorizer,"(1, 2)",3000,0.8699512534818942,0.8426183844011143
0,PassiveAggressiveClassifier,headline,1,CountVectorizer,"(1, 2)",4500,0.8785399257195915,0.8411095636025998
0,PassiveAggressiveClassifier,headline,1,CountVectorizer,"(1, 1)",3000,0.8711409006499535,0.8355385329619313
0,PassiveAggressiveClassifier,full_text,1,CountVectorizer,"(1, 2)",3000,0.8662227251624884,0.8351903435468895
0,PassiveAggressiveClassifier,headline,0,CountVectorizer,"(1, 2)",4500,0.8751886025998143,0.8346680594243269
0,PassiveAggressiveClassifier,headline,0,CountVectorizer,"(1, 1)",3000,0.8632050835654597,0.83072191272052
0,PassiveAggressiveClassifier,headline,1,CountVectorizer,"(1, 2)",3000,0.8523821959145775,0.8250928505106778
0,PassiveAggressiveClassifier,full_text,0,TfidfVectorizer,"(2, 2)",7500,0.8654102831940576,0.8081476323119777
0,PassiveAggressiveClassifier,headline,0,CountVectorizer,"(1, 2)",3000,0.8333768570102136,0.8050719591457753
0,PassiveAggressiveClassifier,full_text,0,TfidfVectorizer,"(2, 2)",6000,0.8458826601671309,0.7962511606313835
0,PassiveAggressiveClassifier,full_text,0,TfidfVectorizer,"(2, 2)",4500,0.8186658542246983,0.7800603528319405
0,PassiveAggressiveClassifier,short_description,0,TfidfVectorizer,"(1, 2)",7500,0.8366701485608171,0.7710074280408542
0,PassiveAggressiveClassifier,short_description,0,TfidfVectorizer,"(1, 2)",6000,0.8242949164345403,0.7701949860724234
0,PassiveAggressiveClassifier,full_text,0,CountVectorizer,"(2, 2)",7500,0.8471013231197771,0.7681638811513464
0,PassiveAggressiveClassifier,short_description,0,TfidfVectorizer,"(1, 2)",4500,0.8058408774373259,0.7659006499535748
0,PassiveAggressiveClassifier,short_description,1,TfidfVectorizer,"(1, 2)",7500,0.8272980501392758,0.7629410399257196
0,PassiveAggressiveClassifier,short_description,0,TfidfVectorizer,"(1, 1)",6000,0.8341312674094707,0.7611420612813371
0,PassiveAggressiveClassifier,short_description,1,TfidfVectorizer,"(1, 2)",6000,0.814777739090065,0.760213556174559
0,PassiveAggressiveClassifier,short_description,0,TfidfVectorizer,"(1, 2)",3000,0.7811919684308264,0.7594011142061281
0,PassiveAggressiveClassifier,full_text,0,CountVectorizer,"(2, 2)",6000,0.8199860724233984,0.7593430826369545
0,PassiveAggressiveClassifier,short_description,0,TfidfVectorizer,"(1, 1)",4500,0.8179404596100278,0.7592850510677809
0,PassiveAggressiveClassifier,short_description,1,TfidfVectorizer,"(1, 1)",6000,0.8300400417827298,0.7589948932219127
0,PassiveAggressiveClassifier,short_description,0,TfidfVectorizer,"(1, 1)",3000,0.794669800371402,0.7585886722376973
0,PassiveAggressiveClassifier,short_description,1,TfidfVectorizer,"(1, 1)",7500,0.8500174094707521,0.7569637883008357
0,PassiveAggressiveClassifier,short_description,1,TfidfVectorizer,"(1, 1)",4500,0.8118471448467967,0.7562674094707521
0,PassiveAggressiveClassifier,short_description,0,TfidfVectorizer,"(1, 1)",7500,0.8509894382544104,0.7562674094707521
0,PassiveAggressiveClassifier,short_description,1,TfidfVectorizer,"(1, 2)",4500,0.7963817316620242,0.7555129990714949
0,PassiveAggressiveClassifier,full_text,0,TfidfVectorizer,"(2, 2)",3000,0.7793784818941504,0.7535399257195915
