,Classifier,By,Preprocessed,Vectorizer,Ngram,TopKFeatures,TrainAccuracy,TestAccuracy
0,ComplementNB,headline,1,TfidfVectorizer,"(1, 2)",6000,0.8582724001857011,0.83919452181987
0,ComplementNB,headline,1,CountVectorizer,"(1, 2)",6000,0.8560236768802229,0.838266016713092
0,ComplementNB,headline,0,TfidfVectorizer,"(1, 2)",4500,0.852541782729805,0.8356545961002786
0,ComplementNB,headline,0,CountVectorizer,"(1, 2)",4500,0.8514827065923862,0.8343779015784587
0,ComplementNB,headline,1,TfidfVectorizer,"(1, 2)",4500,0.8449831708449397,0.8290389972144847
0,ComplementNB,headline,1,CountVectorizer,"(1, 2)",4500,0.8419365134633241,0.8271819870009285
0,ComplementNB,headline,1,TfidfVectorizer,"(1, 1)",3000,0.841225626740947,0.825383008356546
0,ComplementNB,headline,1,CountVectorizer,"(1, 1)",3000,0.8385416666666666,0.8248026926648097
0,ComplementNB,headline,0,TfidfVectorizer,"(1, 2)",3000,0.8361478644382544,0.8225974930362117
0,ComplementNB,headline,0,CountVectorizer,"(1, 2)",3000,0.8356981197771588,0.8224814298978644
0,ComplementNB,headline,1,TfidfVectorizer,"(1, 2)",3000,0.822713556174559,0.808263695450325
0,ComplementNB,headline,1,CountVectorizer,"(1, 2)",3000,0.820754990714949,0.8059424326833797
0,ComplementNB,full_text,0,TfidfVectorizer,"(2, 2)",7500,0.807552808727948,0.7841805942432684
0,ComplementNB,full_text,0,CountVectorizer,"(2, 2)",7500,0.8052460538532962,0.7816852367688022
0,ComplementNB,full_text,0,TfidfVectorizer,"(2, 2)",6000,0.7883733751160631,0.7692084493964717
0,ComplementNB,full_text,0,CountVectorizer,"(2, 2)",6000,0.7845287836583101,0.7659586815227484
0,ComplementNB,short_description,0,TfidfVectorizer,"(1, 1)",7500,0.774416782729805,0.7526114206128134
0,ComplementNB,full_text,0,TfidfVectorizer,"(2, 2)",4500,0.7672208681522749,0.7513347260909935
0,ComplementNB,short_description,1,TfidfVectorizer,"(1, 1)",7500,0.7755483983286908,0.7489554317548747
0,ComplementNB,short_description,0,TfidfVectorizer,"(1, 1)",6000,0.7674820102135562,0.7476207056638812
0,ComplementNB,full_text,0,CountVectorizer,"(2, 2)",4500,0.7625783426183844,0.7466922005571031
0,ComplementNB,short_description,1,TfidfVectorizer,"(1, 1)",6000,0.7678447075208914,0.7440807799442897
0,ComplementNB,short_description,0,TfidfVectorizer,"(1, 1)",4500,0.757863277623027,0.7422237697307336
